weekday freetime(h),weekday freetime(m),weekend freetime(h),weekend freetime(m),age,gender,area,최종 학력,job,household income,library,read place,choice_information,reading.activity,reading.club,read preference,read frequency,book_weekday(h),book_weekday(m),book_weekend(h),book_weekend(m),ebook_weekday(h),ebook_weekday(m),ebook_weekend(h),ebook_weekend(m)
2,0,2,0,26,1,1,6,3,6,1,1,1,2,2,2,2,0,0,0,0,0,30,0,30
2,0,4,0,26,1,1,6,3,5,1,6,8,2,2,2,2,1,0,0,0,0,0,1,0
3,0,6,0,26,1,1,6,5,7,1,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,7,0,26,1,1,6,4,2,1,1,4,2,2,2,2,1,0,0,30,1,0,0,0
5,0,7,0,26,1,1,6,14,8,1,1,4,2,2,4,2,2,0,1,0,0,0,0,0
2,30,5,0,26,2,1,6,4,6,1,,,2,2,4,5,0,0,0,0,0,0,0,0
2,40,4,0,26,2,1,6,3,7,1,,,2,2,4,5,0,0,0,0,0,0,0,0
4,0,8,0,26,2,1,5,3,6,1,3,4,2,2,2,4,0,0,0,0,0,30,0,30
2,0,4,0,26,2,1,6,3,7,1,,,2,2,2,5,0,0,0,0,0,0,0,0
2,30,5,0,27,1,1,5,3,8,1,1,10,2,2,3,2,0,0,0,0,2,0,1,0
3,0,3,0,27,1,1,4,9,5,1,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,6,0,27,1,1,6,3,3,1,1,4,2,2,2,1,1,0,1,0,0,0,0,0
4,0,5,0,27,1,1,6,3,8,1,1,8,2,2,3,3,0,0,1,0,0,0,1,0
4,0,8,0,27,1,1,6,3,6,1,1,10,2,2,3,1,0,0,0,0,1,0,2,0
4,30,6,30,27,1,1,6,3,3,1,3,10,2,2,3,2,0,30,0,0,0,0,0,0
5,0,5,0,27,1,1,4,8,6,1,6,11,2,2,4,3,0,30,0,20,0,0,1,0
6,0,6,0,27,1,1,6,12,8,1,1,6,2,2,2,2,0,30,0,30,0,0,0,0
3,0,5,0,27,1,1,6,12,5,1,3,7,2,2,3,4,0,0,2,0,0,0,0,0
2,0,3,0,27,2,1,6,12,6,1,1,10,2,2,2,2,0,0,0,0,0,30,1,0
3,0,4,0,27,2,1,6,3,6,1,,,2,2,3,5,0,0,0,0,0,0,0,0
3,0,5,0,27,2,1,4,4,6,1,1,6,2,2,3,3,0,0,1,0,0,0,0,0
4,0,6,0,27,2,1,6,14,1,1,1,7,2,2,2,3,0,20,0,0,0,0,0,0
4,0,6,0,27,2,1,6,3,8,1,7,4,2,2,3,2,1,0,1,0,0,0,0,0
1,0,2,0,28,1,1,6,14,1,1,,,2,2,3,5,0,0,0,0,0,0,0,0
1,0,7,0,28,1,1,5,5,4,1,1,1,2,2,3,3,0,0,0,0,0,0,1,50
1,30,2,0,28,1,1,6,3,6,1,1,1,2,2,2,2,0,30,1,0,1,0,2,0
1,30,8,0,28,1,1,6,3,4,1,1,4,2,2,3,1,0,10,0,20,0,20,1,30
2,0,3,0,28,1,1,4,4,6,1,,,2,2,5,5,0,0,0,0,0,0,0,0
2,0,3,0,28,1,1,5,8,3,1,1,4,2,2,2,2,0,30,1,0,1,0,2,0
2,0,7,0,28,1,1,6,5,6,1,1,2,2,2,3,2,0,0,0,0,0,0,1,0
2,0,7,0,28,1,1,6,3,3,1,1,1,2,2,2,2,0,30,0,30,0,0,1,0
3,0,6,30,28,1,1,6,3,8,1,3,4,2,2,2,1,1,0,2,0,0,30,1,0
3,30,5,0,28,1,1,6,5,4,1,1,11,2,2,2,1,0,0,0,0,1,0,2,0
4,0,6,0,28,1,1,6,3,8,1,,,2,2,5,5,0,0,0,0,0,0,0,0
4,0,7,0,28,1,1,6,3,6,1,1,3,2,2,3,2,0,0,0,0,0,0,0,30
1,0,3,0,28,2,1,4,4,3,1,1,2,2,2,4,3,0,0,0,0,0,0,1,30
1,0,5,0,28,2,1,5,4,5,1,1,5,2,2,3,3,0,0,0,0,0,0,1,0
