name
region
sex
LW_pr
age
ainc
marri_2
npins
DI1_dg
DI2_dg
DE1_dg
DJ4_dg
DL1_dg
DJ8_dg
DJ6_dg
DH4_dg
DN1_dg
BH1
EC_wht_23
BO1_1
BO1_2
BO1_3
BD1_11
BD2_1
BD2_14
BP16_1
BP16_2
BP1
BS3_2
BS12_47_1
BS8_2
BS9_2
BS13
BE8_1
BE8_2
BE3_31
BE5_1
HE_HPfh1
HE_HPfh2
HE_HLfh1
HE_HLfh2
HE_IHDfh1
HE_IHDfh2
HE_STRfh1
HE_STRfh2
HE_DMfh1
HE_DMfh2
HE_STRfh3
HE_IHDfh3
HE_HLfh3
HE_HPfh3
HE_DMfh3
HE_sbp
HE_dbp
HE_BMI
HE_Uph
HE_Usg
HE_Uglu
HE_Uket
HE_Ubld
L_BR_FQ
L_LN_FQ
L_DN_FQ
L_OUT_FQ
N_WAT_C
N_EN
N_FAT
N_SFA
N_MUFA
N_PUFA
N_N3
N_N6
N_CHOL
N_SUGAR
N_NA
BS1_1
BS12_37
BS3_1
BS12_47
BD1
